,Title,Company,Description,Salaire,Type_Contrat,Localisation,Date_Publication
35,Senior Data Scientist F/H,MICHAEL PAGE INTERNATIONAL FRANCE,"En étroite collaboration avec le Data Engineer, vos missions principales seront les suivantes : Concevoir et implémenter de nouveaux algorithmes de prédiction en utilisant des techniques avancées de machine learning,. Assurer la maintenance des algorithmes existants, optimiser...",60 - 65 k€ brut annuel,CDI,Puteaux - 92,26/06/2024
36,DATA SCIENTIST F/H,AG2R LA MONDIALE,"Au sein de la direction des systèmes d'information et du digital (DSID) et au sein de l'équipe Data et IA Factory, nous sommes à la recherche de notre data scientist(e) pour rejoindre une équipe dynamique et en pleine croissance. Nous recherchons une personne expérimentée,...",A négocier,CDI,Paris 12 - 75,05/06/2024
37,Data Scientist F/H,OUTSCALE,"Nous recrutons un·e Data Scientist afin de renforcer notre équipe Business Experience . Vos missions Analyser des problématiques et proposer des solutions. Modéliser, implémenter et évaluer des algorithmes. Traiter des données non structurées. Optimiser des modèles ML/DL...",A négocier,CDI,Saint-Cloud - 92,28/06/2024
38,Data Scientist F/H,DOCTOLIB,"Chez Doctolib, nous avons pour mission de transformer la façon dont les soins de santé sont dispensés en tirant parti de la puissance de l'IA. En tant que Data Scientist, vous jouerez un rôle essentiel dans le développement et la mise en œuvre de solutions d'IA de pointe qui...",A négocier,CDI,Levallois-Perret - 92,11/06/2024
39,Data Scientist F/H,IT&M STATS,Maintenance et mise à jour de dashboards de suivi de tests sous PowerBi. Analyser les données générées en interne et externe et réaliser des analyses croisées /meta analyse pour une meilleure compréhension de la performance de nos produits/services. Réaliser des analyses...,A négocier,CDI,Boulogne-Billancourt - 92,03/06/2024
40,Data Scientist F/H,D3S,"D3S développe des algorithmes IA et solutions logicielles pour les leaders de l'industrie (Airbus, Renault, Safran, etc). Nous avons une expertise reconnue dans le développement de logiciels intégrant des modélisations complexes et IA. Les technologies propriétaires sont le...",45 - 65 k€ brut annuel,CDI,Grenoble - 38,14/06/2024
41,Data scientist F/H,AKKODIS TALENT,"La ligne de service Talent d’Akkodis France recrute un Data scientist H/F à Feuquières (60) en CDI. Mission : Le Data Scientist aura pour mission principale de collecter, analyser et interpréter de grandes quantités de données pour aider l'entreprise à prendre des décisions...",50 - 55 k€ brut annuel,CDI,Feuquières - 60,06/06/2024
42,Data Scientist F/H,FINANCEPEOPLE,"Au sein de l'équipe Portfolio Management, vos missions seront les suivantes : Interroger et analyser de grandes bases de données SQL, puis enrichir les données,. Concevoir des tableaux de bord pour améliorer la compréhension des clients-débiteur,. Développer des modèles de...",40 - 40 k€ brut annuel,CDI,Landerneau - 29,12/06/2024
43,Data Scientist F/H,LA REDOUTE,"Vous recherchez une nouvelle opportunité ? Voici le profil que nous recherchons! ?? Rattaché au Head of Data Science de La Redoute vous serez un contributeur clé du monitoring, de l'amélioration continue et de la mesure de valeurs des solutions de Data Science. Vous ferez...",20 - 55 k€ brut annuel,CDI,Roubaix - 59,14/06/2024
44,Data scientist F/H,CLEEVEN SE,"Poste et mission Au sein de nos équipes de data science, nous recherchons notre futur data scientist pour nous accompagner dans différents projets mettant en oeuvre les techniques fondamentales de statistiques prédictives (Machine Learning). Vous aurez de nombreuses missions...",25 - 42 k€ brut annuel,CDI,Biot - 06,25/06/2024
